Introduction,163242,0
Results,146474,2
Discussion,145905,3
Materials and Methods,109039,1
Supporting Information,100048,-1
Methods,42555,1
Conclusions,15064,3
Results and Discussion,12730,2
Conclusion,9502,3
Material and Methods,3077,1
Results/Discussion,1180,2
Background,1106,0
Patients and Methods,1079,1
Method,833,1
General Discussion,655,3
Methods and Materials,547,1
Discussion and Conclusions,520,3
Experimental Procedures,511,2
Subjects and Methods,511,1
Notice of Republication,412,-1
Experiment 2,398,2
Experiment 1,397,2
Methodology,395,1
Acknowledgments,312,-1
Discussion and Conclusion,308,3
Limitations,293,3
Concluding Remarks,276,3
Analysis,273,2
Summary,217,3
Discussions,216,3
Model,189,1
Experiment 3,165,2
Results and Discussions,157,2
Data and Methods,155,1
Result,154,2
Study 2,151,1
Study 1,151,1
Models,140,1
Materials & Methods,136,1
Materials,131,1
Materials And Methods,125,1
Materials and methods,122,1
Experimental,111,2
Statistical Analysis,108,2
Research Design and Methods,105,1
Experiments,103,2
INTRODUCTION,100,0
DISCUSSION,96,3
RESULTS,94,2
Related Work,88,0
Appendix,88,-1
Experimental Section,82,2
Summary and Conclusions,78,3
Materials and Method,76,1
1 Introduction,72,0
Study 3,70,1
Design and Implementation,69,1
Experimental Results,65,2
Methods and Results,62,1
Availability and Future Directions,59,3
MATERIALS AND METHODS,58,1
Theory,58,1
Data,58,1
Findings,56,2
Data Analysis,56,2
Experiment 4,55,2
Conclusions and Recommendations,50,3
Experimental Methods,50,1
Conclusion and Discussion,48,3
Results and Analysis,45,2
Conclusions and Future Work,42,3
Ethics Statement,41,-1
Future Directions,40,3
The Model,38,1
Literature Review,38,0
Next Steps,37,1
Study Limitations,37,3
Conclusions and Perspectives,37,3
Participants and Methods,36,1
Perspectives,35,1
Objectives,35,1
Conclusions and Discussion,33,3
Results & Discussion,33,2
Material & Methods,33,1
Summary and Conclusion,32,3
Conclusions and Future Directions,32,3
Recommendations,32,3
Design and Methods,31,1
Study Area,31,1
General Methods,31,1
Overview,30,0
Implementation,30,2
Description,30,1
Result and Discussion,29,2
METHODS,28,1
Description of Case,27,2
Conclusions and Implications,27,3
Experiments and Results,27,2
Experiment,27,2
Conclusion and Future Work,25,3
Statistical Analyses,25,2
Statistical analysis,25,2
Experimental Design,25,2
Models and Methods,25,1
Experimental Procedure,25,2
Strengths and Limitations,25,3
Implications,24,3
Methods and Procedures,24,1
Implications of the Study,24,3
Model and Methods,23,1
Concluding remarks,23,3
Related Works,22,0
Conclusion and Perspectives,22,3
Simulation Results,22,2
Outlook,22,3
"Patients, Materials and Methods",21,1
Results and discussion,21,2
Study Population and Methods,21,1
1. Introduction,20,0
Presentation of Case,20,1
Limitation,20,3
Analyses,20,2
Conclusions and Outlook,20,3
Experiment 5,20,2
The Future,20,3
Summary and Discussion,20,3
Statistics,20,2
Preliminaries,19,0
Discussion/Conclusions,19,3
Material and Method,19,1
Study 4,19,1
Accession Numbers,18,-1
Limitations of the Study,18,3
Analysis and Results,18,2
Introduction ,18,0
Clinical Implications,18,3
Experimental Results and Discussion,18,2
Statistical Methods,18,1
Discussions and Conclusions,18,3
Model Description,18,1
Challenges for the Future,17,3
Applications,17,3
Case Discussion,17,3
Simulation,17,2
Evaluation,17,2
Mathematical Formulation,17,1
Case Study,16,2
Computational Methods,16,1
Lessons Learned,16,2
Simulations,16,2
The New Study,16,1
Systematic Paleontology,16,-1
Results And Discussion,16,2
Measures,16,2
The Way Forward,15,3
Methods and Data,15,1
Theoretical Background,15,0
Materials and Methodology,15,1
Policy Implications,15,3
Moving Forward,15,3
Objective,14,1
Numerical Results and Discussion,14,2
Supporting Information Legends,14,-1
Material,14,1
Experimental Setup,14,2
Interpretation,14,2
Application,13,3
Availability,13,-1
Disclaimer,13,-1
"Results, Discussion, and Conclusions",13,2
Methods and Models,13,1
Conclusion and Recommendations,13,3
The Challenge,13,1
Numerical Results,13,2
Challenges,13,1
Problem Formulation,13,1
Experimental Results and Analysis,13,2
 Introduction,13,0
Procedure,13,1
Conclusion and Outlook,12,3
Experimental procedures,12,2
Method and Materials,12,1
Looking Forward,12,3
2 Results,12,2
Geological Setting,12,2
Measurements,12,2
Universal Health Coverage: The Policy Context,12,0
Concluding Comments,12,3
Diagnosis,12,2
3 Results,12,2
3 Results and Discussion,11,2
CONCLUSIONS,11,3
Data Collection,11,1
Discussion and Summary,11,3
2 Methods,11,1
4 Discussion,11,3
Perspective,11,1
General Discussion and Conclusions,11,3
Systematic Palaeontology,11,-1
Experiment 6,11,2
Appendix 1,11,-1
Material and methods,11,1
Case Studies,11,2
Ethical Considerations,11,3
3 Discussion,11,3
